Round,Capacidade,Ocupacao,Operacao,Tam do arquivo,Tempo_ms
1,2,0,write,10MB,1296
2,2,0,write,10MB,984
3,2,0,write,10MB,1368
4,2,0,write,10MB,1205
5,2,0,write,10MB,1199
1,2,0,read,10MB,205
2,2,0,read,10MB,394
3,2,0,read,10MB,325
4,2,0,read,10MB,326
5,2,0,read,10MB,327
1,2,0,write,100MB,13051
2,2,0,write,100MB,11619
3,2,0,write,100MB,12061
4,2,0,write,100MB,14229
5,2,0,write,100MB,14939
1,2,0,read,100MB,1406
2,2,0,read,100MB,1542
3,2,0,read,100MB,1537
4,2,0,read,100MB,48030
5,2,0,read,100MB,2894
1,2,0,write,1GB,117266
2,2,0,write,1GB,117880
3,2,0,write,1GB,122853
4,2,0,write,1GB,142305
5,2,0,write,1GB,123190
1,2,0,read,1GB,44437
2,2,0,read,1GB,44957
3,2,0,read,1GB,44631
4,2,0,read,1GB,46239
5,2,0,read,1GB,45090
1,2,20,write,10MB,984
2,2,20,write,10MB,1047
3,2,20,write,10MB,1586
4,2,20,write,10MB,1072
5,2,20,write,10MB,1255
1,2,20,read,10MB,205
2,2,20,read,10MB,269
3,2,20,read,10MB,272
4,2,20,read,10MB,247
5,2,20,read,10MB,265
1,2,20,write,100MB,12031
2,2,20,write,100MB,12409
3,2,20,write,100MB,13038
4,2,20,write,100MB,11982
5,2,20,write,100MB,12401
1,2,20,read,100MB,1605
2,2,20,read,100MB,1826
3,2,20,read,100MB,1815
4,2,20,read,100MB,1752
5,2,20,read,100MB,1829
1,2,20,write,1GB,116038
2,2,20,write,1GB,115473
3,2,20,write,1GB,116163
4,2,20,write,1GB,116721
5,2,20,write,1GB,115762
1,2,20,read,1GB,44312
2,2,20,read,1GB,44881
3,2,20,read,1GB,44683
4,2,20,read,1GB,22488
5,2,20,read,1GB,16089
1,2,40,write,10MB,998
2,2,40,write,10MB,1205
3,2,40,write,10MB,990
4,2,40,write,10MB,990
5,2,40,write,10MB,990
1,2,40,read,10MB,197
2,2,40,read,10MB,258
3,2,40,read,10MB,262
4,2,40,read,10MB,257
5,2,40,read,10MB,264
1,2,40,write,100MB,11622
2,2,40,write,100MB,11144
3,2,40,write,100MB,11150
4,2,40,write,100MB,11594
5,2,40,write,100MB,12015
1,2,40,read,100MB,1765
2,2,40,read,100MB,1595
3,2,40,read,100MB,2093
4,2,40,read,100MB,1618
5,2,40,read,100MB,1847
1,2,40,write,1GB,115876
2,2,40,write,1GB,115245
3,2,40,write,1GB,114989
4,2,40,write,1GB,115555
5,2,40,write,1GB,115498
1,2,40,read,1GB,43587
2,2,40,read,1GB,44009
3,2,40,read,1GB,44171
4,2,40,read,1GB,44883
5,2,40,read,1GB,44910
1,8,0,write,10MB,665
2,8,0,write,10MB,657
3,8,0,write,10MB,645
4,8,0,write,10MB,644
5,8,0,write,10MB,643
1,8,0,read,10MB,132
2,8,0,read,10MB,583
3,8,0,read,10MB,516
4,8,0,read,10MB,129
5,8,0,read,10MB,573
1,8,0,write,100MB,12211
2,8,0,write,100MB,14726
3,8,0,write,100MB,13699
4,8,0,write,100MB,13838
5,8,0,write,100MB,18575
1,8,0,read,100MB,1513
2,8,0,read,100MB,1411
3,8,0,read,100MB,1337
4,8,0,read,100MB,1322
5,8,0,read,100MB,1765
1,8,0,write,1GB,334320
2,8,0,write,1GB,343398
3,8,0,write,1GB,343474
4,8,0,write,1GB,346566
5,8,0,write,1GB,342293
1,8,0,read,1GB,112881
2,8,0,read,1GB,57823
3,8,0,read,1GB,110141
4,8,0,read,1GB,57749
5,8,0,read,1GB,117644
1,8,40,write,10MB,611
2,8,40,write,10MB,668
3,8,40,write,10MB,652
4,8,40,write,10MB,656
5,8,40,write,10MB,664
1,8,40,read,10MB,150
2,8,40,read,10MB,563
3,8,40,read,10MB,522
4,8,40,read,10MB,525
5,8,40,read,10MB,275
1,8,40,write,100MB,12032
2,8,40,write,100MB,17281
3,8,40,write,100MB,13780
4,8,40,write,100MB,14830
5,8,40,write,100MB,16259
1,8,40,read,100MB,45579
2,8,40,read,100MB,5319
3,8,40,read,100MB,5157
4,8,40,read,100MB,4931
5,8,40,read,100MB,5020
1,8,40,write,1GB,343736
2,8,40,write,1GB,335534
3,8,40,write,1GB,335088
4,8,40,write,1GB,347839
5,8,40,write,1GB,372196
1,8,40,read,1GB,80263
2,8,40,read,1GB,56157
3,8,40,read,1GB,78004
4,8,40,read,1GB,56228
